time 2,time 1,delay,,delay 2,delay 1,,jitter,,
0.197602,0,0.197602,,0.197602,0,,0.197602,,
0.471873,0.197602,0.274271,,0.274271,-0.274271,,0.548542,,
0.738222,0.471873,0.266349,,0.266349,-0.266349,,0.532698,,
0.745933,0.738222,0.007711,,0.007711,-0.007711,,0.015422,,
0.745933,0.745933,0,,0,0,,0,,
0.745933,0.745933,0,,0,0,,0,,
0.745933,0.745933,0,,0,0,,0,,
0.746043,0.745933,0.00011,,0.00011,-0.00011,,0.00022,,
0.746107,0.746043,6.4E-05,,6.4E-05,-6.4E-05,,0.000128,,
0.756683,0.746107,0.010576,,0.010576,-0.010576,,0.021152,,
1.06779,0.756683,0.311107,,0.311107,-0.311107,,0.622214,,
1.06779,1.06779,0,,0,0,,0,,
1.068384,1.06779,0.000594,,0.000594,-0.000594,,0.001188,,
1.079712,1.068384,0.011328,,0.011328,-0.011328,,0.022656,,
1.11569,1.079712,0.035978,,0.035978,-0.035978,,0.071956,,
1.675494,1.11569,0.559804,,0.559804,-0.559804,,1.119608,,
2.953049,1.675494,1.277555,,1.277555,-1.277555,,2.55511,,
2.962646,2.953049,0.009597,,0.009597,-0.009597,,0.019194,,
3.443662,2.962646,0.481016,,0.481016,-0.481016,,0.962032,,
3.443662,3.443662,0,,0,0,,0,,
3.443762,3.443662,0.0001,,0.0001,-0.0001,,0.0002,,
3.443841,3.443762,7.9E-05,,7.9E-05,-7.9E-05,,0.000158,,
3.446649,3.443841,0.002808,,0.002808,-0.002808,,0.005616,,
3.446765,3.446649,0.000116,,0.000116,-0.000116,,0.000232,,
3.448932,3.446765,0.002167,,0.002167,-0.002167,,0.004334,,
3.449042,3.448932,0.00011,,0.00011,-0.00011,,0.00022,,
3.454916,3.449042,0.005874,,0.005874,-0.005874,,0.011748,,
3.457206,3.454916,0.00229,,0.00229,-0.00229,,0.00458,,
3.537443,3.457206,0.080237,,0.080237,-0.080237,,0.160474,,
3.537481,3.537443,3.8E-05,,3.8E-05,-3.8E-05,,7.6E-05,,
3.549143,3.537481,0.011662,,0.011662,-0.011662,,0.023324,,
3.549143,3.549143,0,,0,0,,0,,
3.549143,3.549143,0,,0,0,,0,,
3.549143,3.549143,0,,0,0,,0,,
3.549748,3.549143,0.000605,,0.000605,-0.000605,,0.00121,,
3.549831,3.549748,8.3E-05,,8.3E-05,-8.3E-05,,0.000166,,
3.589356,3.549831,0.039525,,0.039525,-0.039525,,0.07905,,
3.743328,3.589356,0.153972,,0.153972,-0.153972,,0.307944,,
3.81804,3.743328,0.074712,,0.074712,-0.074712,,0.149424,,
3.818159,3.81804,0.000119,,0.000119,-0.000119,,0.000238,,
3.818159,3.818159,0,,0,0,,0,,
3.866998,3.818159,0.048839,,0.048839,-0.048839,,0.097678,,
3.995708,3.866998,0.12871,,0.12871,-0.12871,,0.25742,,
4.166528,3.995708,0.17082,,0.17082,-0.17082,,0.34164,,
4.266167,4.166528,0.099639,,0.099639,-0.099639,,0.199278,,
4.267525,4.266167,0.001358,,0.001358,-0.001358,,0.002716,,
4.267525,4.267525,0,,0,0,,0,,
4.315257,4.267525,0.047732,,0.047732,-0.047732,,0.095464,,
4.611535,4.315257,0.296278,,0.296278,-0.296278,,0.592556,,
4.611895,4.611535,0.00036,,0.00036,-0.00036,,0.00072,,
4.611895,4.611895,0,,0,0,,0,,
4.611895,4.611895,0,,0,0,,0,,
4.612023,4.611895,0.000128,,0.000128,-0.000128,,0.000256,,
4.612134,4.612023,0.000111,,0.000111,-0.000111,,0.000222,,
4.625232,4.612134,0.013098,,0.013098,-0.013098,,0.026196,,
4.863078,4.625232,0.237846,,0.237846,-0.237846,,0.475692,,
4.863172,4.863078,9.4E-05,,9.4E-05,-9.4E-05,,0.000188,,
4.863254,4.863172,8.2E-05,,8.2E-05,-8.2E-05,,0.000164,,
4.863254,4.863254,0,,0,0,,0,,
4.863304,4.863254,5E-05,,5E-05,-5E-05,,1E-04,,
4.874769,4.863304,0.011465,,0.011465,-0.011465,,0.02293,,
5.21787,4.874769,0.343101,,0.343101,-0.343101,,0.686202,,
5.218014,5.21787,0.000144,,0.000144,-0.000144,,0.000288,,
5.267511,5.218014,0.049497,,0.049497,-0.049497,,0.098994,,
5.677727,5.267511,0.410216,,0.410216,-0.410216,,0.820432,,
6.507801,5.677727,0.830074,,0.830074,-0.830074,,1.660148,,
6.936467,6.507801,0.428666,,0.428666,-0.428666,,0.857332,,
6.936525,6.936467,5.8E-05,,5.8E-05,-5.8E-05,,0.000116,,
6.936525,6.936525,0,,0,0,,0,,
6.936553,6.936525,2.8E-05,,2.8E-05,-2.8E-05,,5.6E-05,,
6.947546,6.936553,0.010993,,0.010993,-0.010993,,0.021986,,
7.279556,6.947546,0.33201,,0.33201,-0.33201,,0.66402,,
7.29777,7.279556,0.018214,,0.018214,-0.018214,,0.036428,,
7.29777,7.29777,0,,0,0,,0,,
7.525534,7.29777,0.227764,,0.227764,-0.227764,,0.455528,,
7.535801,7.525534,0.010267,,0.010267,-0.010267,,0.020534,,
7.853228,7.535801,0.317427,,0.317427,-0.317427,,0.634854,,
7.853228,7.853228,0,,0,0,,0,,
7.86305,7.853228,0.009822,,0.009822,-0.009822,,0.019644,,
8.120861,7.86305,0.257811,,0.257811,-0.257811,,0.515622,,
8.131545,8.120861,0.010684,,0.010684,-0.010684,,0.021368,,
8.321943,8.131545,0.190398,,0.190398,-0.190398,,0.380796,,
8.322334,8.321943,0.000391,,0.000391,-0.000391,,0.000782,,
8.322545,8.322334,0.000211,,0.000211,-0.000211,,0.000422,,
8.32298,8.322545,0.000435,,0.000435,-0.000435,,0.00087,,
8.558519,8.32298,0.235539,,0.235539,-0.235539,,0.471078,,
8.558557,8.558519,3.8E-05,,3.8E-05,-3.8E-05,,7.6E-05,,
8.558591,8.558557,3.4E-05,,3.4E-05,-3.4E-05,,6.8E-05,,
8.58622,8.558591,0.027629,,0.027629,-0.027629,,0.055258,,
8.586353,8.58622,0.000133,,0.000133,-0.000133,,0.000266,,
8.586459,8.586353,0.000106,,0.000106,-0.000106,,0.000212,,
8.586459,8.586459,0,,0,0,,0,,
8.586578,8.586459,0.000119,,0.000119,-0.000119,,0.000238,,
8.617437,8.586578,0.030859,,0.030859,-0.030859,,0.061718,,
8.830448,8.617437,0.213011,,0.213011,-0.213011,,0.426022,,
8.830576,8.830448,0.000128,,0.000128,-0.000128,,0.000256,,
8.830576,8.830576,0,,0,0,,0,,
8.830576,8.830576,0,,0,0,,0,,
8.830576,8.830576,0,,0,0,,0,,
8.830668,8.830576,9.2E-05,,9.2E-05,-9.2E-05,,0.000184,,
8.830695,8.830668,2.7E-05,,2.7E-05,-2.7E-05,,5.4E-05,,
8.831249,8.830695,0.000554,,0.000554,-0.000554,,0.001108,,
8.831249,8.831249,0,,0,0,,0,,
9.066341,8.831249,0.235092,,0.235092,-0.235092,,0.470184,,
9.066484,9.066341,0.000143,,0.000143,-0.000143,,0.000286,,
9.066484,9.066484,0,,0,0,,0,,
9.066484,9.066484,0,,0,0,,0,,
9.066563,9.066484,7.9E-05,,7.9E-05,-7.9E-05,,0.000158,,
9.076732,9.066563,0.010169,,0.010169,-0.010169,,0.020338,,
9.531344,9.076732,0.454612,,0.454612,-0.454612,,0.909224,,
9.531344,9.531344,0,,0,0,,0,,
9.542767,9.531344,0.011423,,0.011423,-0.011423,,0.022846,,
9.922891,9.542767,0.380124,,0.380124,-0.380124,,0.760248,,
9.922891,9.922891,0,,0,0,,0,,
9.933515,9.922891,0.010624,,0.010624,-0.010624,,0.021248,,
10.320897,9.933515,0.387382,,0.387382,-0.387382,,0.774764,,
10.332596,10.320897,0.011699,,0.011699,-0.011699,,0.023398,,
10.767307,10.332596,0.434711,,0.434711,-0.434711,,0.869422,,
10.767307,10.767307,0,,0,0,,0,,
10.820607,10.767307,0.0533,,0.0533,-0.0533,,0.1066,,
11.099324,10.820607,0.278717,,0.278717,-0.278717,,0.557434,,
11.099844,11.099324,0.00052,,0.00052,-0.00052,,0.00104,,
11.286635,11.099844,0.186791,,0.186791,-0.186791,,0.373582,,
11.337654,11.286635,0.051019,,0.051019,-0.051019,,0.102038,,
11.720339,11.337654,0.382685,,0.382685,-0.382685,,0.76537,,
11.735482,11.720339,0.015143,,0.015143,-0.015143,,0.030286,,
11.745212,11.735482,0.00973,,0.00973,-0.00973,,0.01946,,
11.745321,11.745212,0.000109,,0.000109,-0.000109,,0.000218,,
12.114494,11.745321,0.369173,,0.369173,-0.369173,,0.738346,,
12.114494,12.114494,0,,0,0,,0,,
12.155294,12.114494,0.0408,,0.0408,-0.0408,,0.0816,,
13.130556,12.155294,0.975262,,0.975262,-0.975262,,1.950524,,
13.130556,13.130556,0,,0,0,,0,,
13.130614,13.130556,5.8E-05,,5.8E-05,-5.8E-05,,0.000116,,
13.130788,13.130614,0.000174,,0.000174,-0.000174,,0.000348,,
13.14057,13.130788,0.009782,,0.009782,-0.009782,,0.019564,,
13.2529,13.14057,0.11233,,0.11233,-0.11233,,0.22466,,
13.56967,13.2529,0.31677,,0.31677,-0.31677,,0.63354,,
13.569719,13.56967,4.9E-05,,4.9E-05,-4.9E-05,,9.8E-05,,
13.677082,13.569719,0.107363,,0.107363,-0.107363,,0.214726,,
13.677228,13.677082,0.000146,,0.000146,-0.000146,,0.000292,,
13.677228,13.677228,0,,0,0,,0,,
13.677487,13.677228,0.000259,,0.000259,-0.000259,,0.000518,,
13.688682,13.677487,0.011195,,0.011195,-0.011195,,0.02239,,
14.005166,13.688682,0.316484,,0.316484,-0.316484,,0.632968,,
14.005166,14.005166,0,,0,0,,0,,
14.005997,14.005166,0.000831,,0.000831,-0.000831,,0.001662,,
14.059955,14.005997,0.053958,,0.053958,-0.053958,,0.107916,,
14.747203,14.059955,0.687248,,0.687248,-0.687248,,1.374496,,
14.862512,14.747203,0.115309,,0.115309,-0.115309,,0.230618,,
15.169676,14.862512,0.307164,,0.307164,-0.307164,,0.614328,,
15.169676,15.169676,0,,0,0,,0,,
15.170071,15.169676,0.000395,,0.000395,-0.000395,,0.00079,,
15.216909,15.170071,0.046838,,0.046838,-0.046838,,0.093676,,
15.772867,15.216909,0.555958,,0.555958,-0.555958,,1.111916,,
15.773184,15.772867,0.000317,,0.000317,-0.000317,,0.000634,,
15.773821,15.773184,0.000637,,0.000637,-0.000637,,0.001274,,
16.17773,15.773821,0.403909,,0.403909,-0.403909,,0.807818,,
16.86272,16.17773,0.68499,,0.68499,-0.68499,,1.36998,,
17.213224,16.86272,0.350504,,0.350504,-0.350504,,0.701008,,
17.213376,17.213224,0.000152,,0.000152,-0.000152,,0.000304,,
17.214099,17.213376,0.000723,,0.000723,-0.000723,,0.001446,,
17.404071,17.214099,0.189972,,0.189972,-0.189972,,0.379944,,
17.404071,17.404071,0,,0,0,,0,,
17.404071,17.404071,0,,0,0,,0,,
17.404071,17.404071,0,,0,0,,0,,
17.404176,17.404071,0.000105,,0.000105,-0.000105,,0.00021,,
17.405441,17.404176,0.001265,,0.001265,-0.001265,,0.00253,,
17.411651,17.405441,0.00621,,0.00621,-0.00621,,0.01242,,
17.77834,17.411651,0.366689,,0.366689,-0.366689,,0.733378,,
17.779149,17.77834,0.000809,,0.000809,-0.000809,,0.001618,,
17.779236,17.779149,8.7E-05,,8.7E-05,-8.7E-05,,0.000174,,
17.779236,17.779236,0,,0,0,,0,,
17.779236,17.779236,0,,0,0,,0,,
17.779236,17.779236,0,,0,0,,0,,
17.779236,17.779236,0,,0,0,,0,,
17.779236,17.779236,0,,0,0,,0,,
17.779236,17.779236,0,,0,0,,0,,
17.783304,17.779236,0.004068,,0.004068,-0.004068,,0.008136,,
17.932965,17.783304,0.149661,,0.149661,-0.149661,,0.299322,,
18.032339,17.932965,0.099374,,0.099374,-0.099374,,0.198748,,
18.032339,18.032339,0,,0,0,,0,,
18.03257,18.032339,0.000231,,0.000231,-0.000231,,0.000462,,
18.03257,18.03257,0,,0,0,,0,,
18.03257,18.03257,0,,0,0,,0,,
18.03257,18.03257,0,,0,0,,0,,
18.03257,18.03257,0,,0,0,,0,,
18.032697,18.03257,0.000127,,0.000127,-0.000127,,0.000254,,
18.032888,18.032697,0.000191,,0.000191,-0.000191,,0.000382,,
18.033086,18.032888,0.000198,,0.000198,-0.000198,,0.000396,,
18.033413,18.033086,0.000327,,0.000327,-0.000327,,0.000654,,
18.036443,18.033413,0.00303,,0.00303,-0.00303,,0.00606,,
18.103399,18.036443,0.066956,,0.066956,-0.066956,,0.133912,,
18.124233,18.103399,0.020834,,0.020834,-0.020834,,0.041668,,
18.124233,18.124233,0,,0,0,,0,,
18.124337,18.124233,0.000104,,0.000104,-0.000104,,0.000208,,
18.124337,18.124337,0,,0,0,,0,,
18.124337,18.124337,0,,0,0,,0,,
18.12439,18.124337,5.3E-05,,5.3E-05,-5.3E-05,,0.000106,,
18.12459,18.12439,0.0002,,0.0002,-0.0002,,0.0004,,
18.12459,18.12459,0,,0,0,,0,,
18.124639,18.12459,4.9E-05,,4.9E-05,-4.9E-05,,9.8E-05,,
18.128491,18.124639,0.003852,,0.003852,-0.003852,,0.007704,,
18.128491,18.128491,0,,0,0,,0,,
18.128491,18.128491,0,,0,0,,0,,
18.128491,18.128491,0,,0,0,,0,,
18.128491,18.128491,0,,0,0,,0,,
18.128491,18.128491,0,,0,0,,0,,
18.128491,18.128491,0,,0,0,,0,,
18.128609,18.128491,0.000118,,0.000118,-0.000118,,0.000236,,
18.128796,18.128609,0.000187,,0.000187,-0.000187,,0.000374,,
18.128913,18.128796,0.000117,,0.000117,-0.000117,,0.000234,,
18.12954,18.128913,0.000627,,0.000627,-0.000627,,0.001254,,
18.134872,18.12954,0.005332,,0.005332,-0.005332,,0.010664,,
18.138201,18.134872,0.003329,,0.003329,-0.003329,,0.006658,,
18.138393,18.138201,0.000192,,0.000192,-0.000192,,0.000384,,
18.138563,18.138393,0.00017,,0.00017,-0.00017,,0.00034,,
18.138754,18.138563,0.000191,,0.000191,-0.000191,,0.000382,,
